id_anneau,id_secteur,pk,z_tn,z_base_tunnel,z_voute_tunnel
1,1,0.0,53.12,22.8,31.8
2,1,1.5,53.12,22.78,31.78
3,1,3.0,53.12,22.77,31.77
4,1,4.5,53.12,22.76,31.76
5,1,6.0,53.12,22.74,31.74
6,1,7.5,53.12,22.73,31.73
7,1,9.0,53.12,22.71,31.71
8,1,10.5,53.12,22.7,31.7
9,1,12.0,53.12,22.68,31.68
10,1,13.5,53.12,22.66,31.66
11,1,15.0,53.12,22.64,31.64
12,1,16.5,53.12,22.62,31.62
13,1,18.0,53.12,22.6,31.6
14,1,19.5,53.11,22.58,31.58
15,1,21.0,53.11,22.56,31.56
16,1,22.5,53.11,22.54,31.54
17,1,24.0,53.1,22.51,31.51
18,1,25.5,53.1,22.49,31.49
19,1,27.0,53.09,22.46,31.46
20,1,28.5,53.09,22.44,31.44
21,1,30.0,53.08,22.41,31.41
22,1,31.5,53.07,22.38,31.38
23,1,33.0,53.07,22.36,31.36
24,1,34.5,53.06,22.33,31.33
25,1,36.0,53.05,22.3,31.3
26,1,37.5,53.04,22.27,31.27
27,1,39.0,53.04,22.24,31.24
28,1,40.5,53.03,22.21,31.21
29,1,42.0,53.02,22.17,31.17
30,1,43.5,53.01,22.14,31.14
31,1,45.0,53.0,22.11,31.11
32,1,46.5,52.99,22.07,31.07
33,1,48.0,52.97,22.04,31.04
34,1,49.5,52.96,22.0,31.0
35,1,51.0,52.95,21.97,30.97
36,1,52.5,52.94,21.93,30.93
37,1,54.0,52.93,21.89,30.89
38,1,55.5,52.91,21.85,30.85
39,1,57.0,52.9,21.81,30.81
40,1,58.5,52.89,21.77,30.77
41,1,60.0,52.87,21.73,30.73
42,1,61.5,52.86,21.69,30.69
43,1,63.0,52.84,21.65,30.65
44,1,64.5,52.82,21.61,30.61
45,1,66.0,52.81,21.57,30.57
46,1,67.5,52.79,21.53,30.53
47,1,69.0,52.78,21.48,30.48
48,1,70.5,52.76,21.44,30.44
49,1,72.0,52.74,21.39,30.39
50,1,73.5,52.72,21.35,30.35
51,1,75.0,52.7,21.3,30.3
52,1,76.5,52.69,21.26,30.26
53,1,78.0,52.67,21.21,30.21
54,1,79.5,52.65,21.17,30.17
55,1,81.0,52.63,21.12,30.12
56,1,82.5,52.61,21.07,30.07
57,1,84.0,52.59,21.02,30.02
58,1,85.5,52.57,20.98,29.98
59,1,87.0,52.55,20.93,29.93
60,1,88.5,52.52,20.88,29.88
61,1,90.0,52.5,20.83,29.83
62,1,91.5,52.48,20.78,29.78
63,1,93.0,52.46,20.73,29.73
64,1,94.5,52.44,20.68,29.68
65,1,96.0,52.41,20.63,29.63
66,1,97.5,52.39,20.58,29.58
67,1,99.0,52.37,20.53,29.53
68,1,100.5,52.34,20.48,29.48
69,1,102.0,52.32,20.43,29.43
70,1,103.5,52.3,20.38,29.38
71,1,105.0,52.27,20.33,29.33
72,1,106.5,52.25,20.27,29.27
73,1,108.0,52.22,20.22,29.22
74,1,109.5,52.2,20.17,29.17
75,1,111.0,52.17,20.12,29.12
76,1,112.5,52.15,20.07,29.07
77,1,114.0,52.12,20.01,29.01
78,1,115.5,52.1,19.96,28.96
79,1,117.0,52.07,19.91,28.91
80,1,118.5,52.05,19.86,28.86
81,1,120.0,52.02,19.81,28.81
82,1,121.5,51.99,19.75,28.75
83,1,123.0,51.97,19.7,28.7
84,1,124.5,51.94,19.65,28.65
85,1,126.0,51.91,19.6,28.6
86,1,127.5,51.89,19.55,28.55
87,1,129.0,51.86,19.49,28.49
88,1,130.5,51.83,19.44,28.44
89,1,132.0,51.81,19.39,28.39
90,1,133.5,51.78,19.34,28.34
91,1,135.0,51.75,19.29,28.29
92,1,136.5,51.73,19.24,28.24
93,1,138.0,51.7,19.18,28.18
94,1,139.5,51.67,19.13,28.13
95,1,141.0,51.65,19.08,28.08
96,1,142.5,51.62,19.03,28.03
97,1,144.0,51.59,18.98,27.98
98,1,145.5,51.57,18.93,27.93
99,1,147.0,51.54,18.88,27.88
100,1,148.5,51.51,18.83,27.83
101,1,150.0,51.49,18.78,27.78
102,1,151.5,51.46,18.74,27.74
103,1,153.0,51.43,18.69,27.69
104,1,154.5,51.41,18.64,27.64
105,1,156.0,51.38,18.59,27.59
106,1,157.5,51.36,18.55,27.55
107,1,159.0,51.33,18.5,27.5
108,1,160.5,51.3,18.45,27.45
109,1,162.0,51.28,18.41,27.41
110,1,163.5,51.25,18.36,27.36
111,1,165.0,51.23,18.32,27.32
112,1,166.5,51.2,18.27,27.27
113,1,168.0,51.18,18.23,27.23
114,1,169.5,51.15,18.18,27.18
115,1,171.0,51.13,18.14,27.14
116,1,172.5,51.1,18.1,27.1
117,1,174.0,51.08,18.06,27.06
118,1,175.5,51.05,18.01,27.01
119,1,177.0,51.03,17.97,26.97
120,1,178.5,51.01,17.93,26.93
121,1,180.0,50.98,17.89,26.89
122,1,181.5,50.96,17.85,26.85
123,1,183.0,50.94,17.81,26.81
124,1,184.5,50.92,17.78,26.78
125,1,186.0,50.89,17.74,26.74
126,1,187.5,50.87,17.7,26.7
127,1,189.0,50.85,17.67,26.67
128,1,190.5,50.83,17.63,26.63
129,1,192.0,50.81,17.6,26.6
130,1,193.5,50.79,17.56,26.56
131,1,195.0,50.77,17.53,26.53
132,1,196.5,50.75,17.49,26.49
133,1,198.0,50.73,17.46,26.46
134,1,199.5,50.71,17.43,26.43
135,1,201.0,50.69,17.4,26.4
136,1,202.5,50.67,17.37,26.37
137,1,204.0,50.65,17.34,26.34
138,1,205.5,50.64,17.31,26.31
139,1,207.0,50.62,17.28,26.28
140,1,208.5,50.6,17.26,26.26
141,1,210.0,50.59,17.23,26.23
142,1,211.5,50.57,17.2,26.2
143,1,213.0,50.55,17.18,26.18
144,1,214.5,50.54,17.15,26.15
145,1,216.0,50.52,17.13,26.13
146,1,217.5,50.51,17.11,26.11
147,1,219.0,50.5,17.09,26.09
148,1,220.5,50.48,17.07,26.07
149,1,222.0,50.47,17.04,26.04
150,1,223.5,50.46,17.03,26.03
151,1,225.0,50.45,17.01,26.01
152,1,226.5,50.43,16.99,25.99
153,1,228.0,50.42,16.97,25.97
154,1,229.5,50.41,16.95,25.95
155,1,231.0,50.4,16.94,25.94
156,1,232.5,50.39,16.92,25.92
157,1,234.0,50.38,16.91,25.91
158,1,235.5,50.37,16.9,25.9
159,1,237.0,50.37,16.88,25.88
160,1,238.5,50.36,16.87,25.87
161,1,240.0,50.35,16.86,25.86
162,1,241.5,50.34,16.85,25.85
163,1,243.0,50.34,16.84,25.84
164,1,244.5,50.33,16.83,25.83
165,1,246.0,50.33,16.82,25.82
166,1,247.5,50.32,16.82,25.82
167,1,249.0,50.32,16.81,25.81
168,1,250.5,50.31,16.8,25.8
169,1,252.0,50.31,16.8,25.8
170,1,253.5,50.31,16.79,25.79
171,1,255.0,50.31,16.79,25.79
172,1,256.5,50.3,16.79,25.79
173,1,258.0,50.3,16.79,25.79
174,1,259.5,50.3,16.78,25.78
175,1,261.0,50.3,16.78,25.78
176,1,262.5,50.3,16.78,25.78
177,1,264.0,50.3,16.78,25.78
178,1,265.5,50.3,16.79,25.79
179,1,267.0,50.31,16.79,25.79
180,1,268.5,50.31,16.79,25.79
181,1,270.0,50.31,16.79,25.79
182,1,271.5,50.31,16.8,25.8
183,1,273.0,50.32,16.8,25.8
