id_calage_trans,id_anneau,smax,iy,my
1,278,-4.91,12.52,1.67
2,279,-4.7,14.49,0.74
3,280,-4.91,14.35,0.63
4,281,-4.94,12.67,1.0
5,282,-4.5,15.2,1.76
6,283,-5.34,15.21,-0.58
7,284,-5.1,14.62,-1.03
8,285,-5.03,14.34,-0.84
9,286,-4.92,15.68,-0.27
10,287,-4.85,14.22,0.69
11,288,-5.33,13.06,-0.92
12,289,-4.64,14.29,1.75
13,290,-4.98,12.62,0.21
14,291,-4.68,14.14,-0.85
15,292,-4.73,17.29,-1.2
16,293,-4.83,16.31,-2.54
17,294,-4.99,16.0,-3.66
18,295,-5.25,14.2,0.68
19,296,-4.87,16.06,-1.03
20,297,-4.75,15.04,0.78
21,298,-5.13,15.81,1.33
22,299,-4.66,14.62,-3.56
23,300,-4.98,14.63,-3.04
24,301,-5.06,15.07,-1.98
25,302,-5.06,14.71,1.83
26,303,-4.83,14.57,1.02
27,304,-4.65,15.17,3.31
28,305,-4.61,14.65,-1.71
29,306,-4.71,13.57,-3.59
30,307,-4.99,14.3,-2.28
31,308,-4.98,14.88,-2.11
32,309,-4.59,14.65,-2.0
33,310,-4.73,15.26,0.08
34,311,-4.92,11.87,0.7
35,312,-5.19,16.61,0.2
36,313,-5.08,12.65,-0.06
37,314,-4.87,14.61,-1.77
38,315,-4.47,15.12,-0.61
39,316,-4.54,16.45,-2.53
40,317,-4.64,14.59,0.99
41,318,-4.83,13.7,0.21
42,319,-5.04,13.96,-1.56
43,320,-4.57,15.02,0.27
44,321,-4.89,14.78,1.27
45,322,-5.02,14.06,-0.07
46,323,-4.5,13.49,1.35
47,324,-4.74,13.91,-2.22
48,325,-4.69,14.93,-2.63
49,326,-4.86,13.95,-0.44
50,327,-4.55,14.4,-0.34
51,328,-4.4,16.37,0.29
52,329,-4.45,17.8,1.48
53,330,-4.77,16.56,-0.58
54,331,-4.87,17.22,-0.85
55,332,-4.51,14.2,-2.24
56,333,-4.3,14.67,-0.99
57,334,-4.48,13.77,-1.3
58,335,-3.96,14.48,-0.56
59,336,-4.35,15.29,-0.26
60,337,-4.57,15.01,-0.44
61,338,-4.86,16.62,-0.17
62,339,-4.52,15.44,1.0
63,340,-3.95,16.38,-1.13
64,341,-4.15,14.31,0.48
65,342,-4.34,14.2,-1.36
66,662,-3.31,11.57,0.35
67,663,-4.0,13.13,1.33
68,664,-3.25,13.26,-0.33
69,665,-3.36,11.91,0.18
70,666,-3.2,12.56,0.51
71,667,-3.35,13.74,0.54
72,668,-2.88,12.3,1.67
73,669,-3.4,14.61,-0.57
74,670,-3.04,11.72,-0.08
75,671,-3.24,13.45,0.73
76,672,-3.21,12.48,-0.64
77,673,-3.36,12.62,-0.0
78,674,-3.17,14.61,0.02
79,675,-3.27,13.86,-1.13
80,676,-3.73,13.58,-0.43
81,677,-3.52,12.47,-0.03
82,678,-3.27,13.04,2.69
83,679,-3.64,15.31,0.74
84,680,-3.43,12.13,1.55
85,681,-3.21,14.56,-0.69
86,682,-3.35,13.09,1.11
87,683,-3.04,14.16,1.25
88,684,-2.97,12.52,-0.07
89,685,-2.79,13.13,-0.34
90,686,-3.2,11.77,1.82
91,687,-3.73,11.71,-1.36
92,688,-3.31,12.1,-0.44
93,689,-3.27,13.6,-1.71
94,690,-2.88,13.15,0.67
95,691,-2.99,13.3,1.72
96,692,-3.16,12.53,1.48
97,693,-3.94,12.79,-0.28
98,694,-3.57,13.71,-0.7
99,695,-3.7,13.4,-1.33
100,696,-3.32,13.11,-0.87
101,697,-3.09,14.28,1.35
102,698,-3.24,14.11,-0.83
103,699,-3.24,11.7,-1.75
104,700,-2.81,10.84,0.62
105,701,-3.59,11.59,-0.23
106,702,-3.77,13.37,-2.38
107,703,-3.6,12.82,-3.04
108,704,-3.48,12.54,-3.21
109,705,-3.1,13.61,-0.69
110,706,-3.01,12.54,-1.76
111,707,-3.14,13.33,-0.17
112,708,-3.36,11.72,1.11
113,709,-3.52,14.74,0.86
114,710,-3.59,13.25,-1.23
115,711,-3.15,12.09,0.25
116,712,-3.32,13.33,-0.7
117,713,-3.4,13.1,1.29
118,714,-3.08,13.86,-3.66
119,715,-3.03,14.22,0.04
120,716,-3.4,13.07,0.75
121,717,-3.27,14.96,-2.02
122,718,-3.04,12.06,-1.65
123,719,-3.35,12.17,-0.13
124,720,-2.99,12.81,-0.3
125,721,-3.01,12.44,-1.47
126,722,-2.92,11.77,-1.8
127,723,-3.5,13.22,-1.82
128,724,-3.6,13.15,-0.49
129,725,-3.99,12.16,0.12
130,726,-3.4,13.05,-1.37
131,727,-3.47,13.66,-1.83
132,728,-4.07,14.72,-1.4
133,729,-3.63,12.85,-0.72
134,730,-3.95,11.91,-0.04
135,790,-4.64,12.26,-0.9
136,792,-4.03,10.75,-0.25
137,794,-4.08,13.5,0.51
138,796,-3.78,12.67,1.99
139,798,-3.96,11.55,3.0
140,800,-4.45,11.93,5.26
141,802,-4.4,12.16,-1.32
142,804,-5.35,10.64,0.29
143,806,-4.32,11.7,0.93
144,808,-4.47,11.41,-0.37
145,810,-4.36,13.61,-1.76
146,812,-4.54,12.66,1.93
147,814,-5.5,13.55,0.89
