id_stratigraphie,id_anneau,id_formation,z_base,z_toit,epaisseur
1,1,R,49.2,53.12,3.92
2,1,L,47.68,49.2,1.52
3,1,S,36.36,47.68,11.32
4,1,M,22.8,36.36,13.57
5,1,C,17.37,22.8,5.43
6,1,A,6.22,17.37,11.15
7,1,K,3.22,6.22,3.0
8,2,R,49.21,53.12,3.91
9,2,L,47.69,49.21,1.51
10,2,S,36.4,47.69,11.3
11,2,M,22.87,36.4,13.53
12,2,C,17.47,22.87,5.4
13,2,A,6.31,17.47,11.15
14,2,K,3.31,6.31,3.0
15,3,R,49.21,53.12,3.91
16,3,L,47.71,49.21,1.51
17,3,S,36.43,47.71,11.27
18,3,M,22.94,36.43,13.5
19,3,C,17.56,22.94,5.37
20,3,A,6.41,17.56,11.16
21,3,K,3.41,6.41,3.0
22,4,R,49.22,53.12,3.9
23,4,L,47.72,49.22,1.5
24,4,S,36.47,47.72,11.25
25,4,M,23.01,36.47,13.46
26,4,C,17.66,23.01,5.35
27,4,A,6.5,17.66,11.16
28,4,K,3.5,6.5,3.0
29,5,R,49.22,53.12,3.9
30,5,L,47.73,49.22,1.49
31,5,S,36.5,47.73,11.23
32,5,M,23.08,36.5,13.42
33,5,C,17.76,23.08,5.32
34,5,A,6.6,17.76,11.16
35,5,K,3.6,6.6,3.0
36,6,R,49.23,53.12,3.9
37,6,L,47.74,49.23,1.49
38,6,S,36.54,47.74,11.2
39,6,M,23.15,36.54,13.39
40,6,C,17.86,23.15,5.29
41,6,A,6.69,17.86,11.17
42,6,K,3.69,6.69,3.0
43,7,R,49.23,53.12,3.89
44,7,L,47.75,49.23,1.48
45,7,S,36.57,47.75,11.18
46,7,M,23.22,36.57,13.35
47,7,C,17.96,23.22,5.26
48,7,A,6.79,17.96,11.17
49,7,K,3.79,6.79,3.0
50,8,R,49.24,53.12,3.89
51,8,L,47.76,49.24,1.48
52,8,S,36.61,47.76,11.16
53,8,M,23.29,36.61,13.31
54,8,C,18.06,23.29,5.24
55,8,A,6.89,18.06,11.17
56,8,K,3.89,6.89,3.0
57,9,R,49.24,53.12,3.88
58,9,L,47.77,49.24,1.47
59,9,S,36.64,47.77,11.13
60,9,M,23.36,36.64,13.28
61,9,C,18.16,23.36,5.21
62,9,A,6.99,18.16,11.17
63,9,K,3.99,6.99,3.0
64,10,R,49.25,53.12,3.88
65,10,L,47.78,49.25,1.46
66,10,S,36.67,47.78,11.11
67,10,M,23.43,36.67,13.24
68,10,C,18.25,23.43,5.18
69,10,A,7.09,18.25,11.17
70,10,K,4.09,7.09,3.0
71,11,R,49.25,53.12,3.87
72,11,L,47.79,49.25,1.46
73,11,S,36.71,47.79,11.09
74,11,M,23.5,36.71,13.2
75,11,C,18.35,23.5,5.15
76,11,A,7.18,18.35,11.17
77,11,K,4.18,7.18,3.0
78,12,R,49.25,53.12,3.87
79,12,L,47.8,49.25,1.45
80,12,S,36.74,47.8,11.06
81,12,M,23.57,36.74,13.17
82,12,C,18.45,23.57,5.12
83,12,A,7.28,18.45,11.17
84,12,K,4.28,7.28,3.0
85,13,R,49.26,53.12,3.86
86,13,L,47.81,49.26,1.44
87,13,S,36.77,47.81,11.04
88,13,M,23.64,36.77,13.13
89,13,C,18.55,23.64,5.09
90,13,A,7.38,18.55,11.17
91,13,K,4.38,7.38,3.0
92,14,R,49.26,53.11,3.85
93,14,L,47.82,49.26,1.44
94,14,S,36.8,47.82,11.02
95,14,M,23.71,36.8,13.09
96,14,C,18.65,23.71,5.06
97,14,A,7.48,18.65,11.17
98,14,K,4.48,7.48,3.0
99,15,R,49.26,53.11,3.85
100,15,L,47.83,49.26,1.43
101,15,S,36.83,47.83,11.0
102,15,M,23.78,36.83,13.06
103,15,C,18.75,23.78,5.03
104,15,A,7.58,18.75,11.16
105,15,K,4.58,7.58,3.0
106,16,R,49.26,53.11,3.84
107,16,L,47.84,49.26,1.42
108,16,S,36.86,47.84,10.97
109,16,M,23.84,36.86,13.02
110,16,C,18.85,23.84,5.0
111,16,A,7.69,18.85,11.16
112,16,K,4.69,7.69,3.0
113,17,R,49.26,53.1,3.84
114,17,L,47.85,49.26,1.42
115,17,S,36.9,47.85,10.95
116,17,M,23.91,36.9,12.98
117,17,C,18.95,23.91,4.96
118,17,A,7.79,18.95,11.16
119,17,K,4.79,7.79,3.0
120,18,R,49.27,53.1,3.83
121,18,L,47.85,49.27,1.41
122,18,S,36.93,47.85,10.93
123,18,M,23.98,36.93,12.95
124,18,C,19.04,23.98,4.93
125,18,A,7.89,19.04,11.16
126,18,K,4.89,7.89,3.0
127,19,R,49.27,53.09,3.82
128,19,L,47.86,49.27,1.41
129,19,S,36.96,47.86,10.91
130,19,M,24.04,36.96,12.91
131,19,C,19.14,24.04,4.9
132,19,A,7.99,19.14,11.15
133,19,K,4.99,7.99,3.0
134,20,R,49.27,53.09,3.82
135,20,L,47.87,49.27,1.4
136,20,S,36.98,47.87,10.88
137,20,M,24.11,36.98,12.88
138,20,C,19.24,24.11,4.87
139,20,A,8.09,19.24,11.15
140,20,K,5.09,8.09,3.0
141,21,R,49.27,53.08,3.81
142,21,L,47.88,49.27,1.39
143,21,S,37.01,47.88,10.86
144,21,M,24.17,37.01,12.84
145,21,C,19.34,24.17,4.84
146,21,A,8.19,19.34,11.14
147,21,K,5.19,8.19,3.0
148,22,R,49.27,53.07,3.81
149,22,L,47.88,49.27,1.39
150,22,S,37.04,47.88,10.84
151,22,M,24.24,37.04,12.8
152,22,C,19.43,24.24,4.8
153,22,A,8.29,19.43,11.14
154,22,K,5.29,8.29,3.0
155,23,R,49.27,53.07,3.8
156,23,L,47.89,49.27,1.38
157,23,S,37.07,47.89,10.82
158,23,M,24.3,37.07,12.77
159,23,C,19.53,24.3,4.77
160,23,A,8.4,19.53,11.13
161,23,K,5.4,8.4,3.0
162,24,R,49.27,53.06,3.79
163,24,L,47.89,49.27,1.37
164,24,S,37.1,47.89,10.8
165,24,M,24.36,37.1,12.73
