id_strati_homogene,id_anneau,gamma_h[kN/m3],E_M[MPa],alpha[],c'[kPa],phi'[°],K0[]
1,1,19.772,27.526,0.385,7.266,31.483,0.548
2,2,19.776,27.594,0.386,7.326,31.471,0.548
3,3,19.779,27.663,0.386,7.387,31.46,0.548
4,4,19.783,27.733,0.387,7.448,31.448,0.549
5,5,19.787,27.803,0.388,7.51,31.436,0.549
6,6,19.791,27.873,0.388,7.571,31.423,0.549
7,7,19.795,27.944,0.389,7.634,31.411,0.549
8,8,19.799,28.015,0.389,7.696,31.398,0.549
9,9,19.803,28.087,0.39,7.759,31.386,0.55
10,10,19.807,28.159,0.39,7.822,31.373,0.55
11,11,19.811,28.232,0.391,7.885,31.36,0.55
12,12,19.816,28.305,0.391,7.948,31.347,0.55
13,13,19.82,28.378,0.392,8.011,31.333,0.551
14,14,19.824,28.451,0.393,8.075,31.32,0.551
15,15,19.829,28.525,0.393,8.138,31.307,0.551
16,16,19.833,28.599,0.394,8.202,31.293,0.551
17,17,19.837,28.673,0.394,8.265,31.279,0.552
18,18,19.842,28.747,0.395,8.329,31.266,0.552
19,19,19.846,28.821,0.395,8.392,31.252,0.552
20,20,19.851,28.895,0.396,8.456,31.238,0.552
21,21,19.855,28.969,0.397,8.519,31.224,0.553
22,22,19.86,29.043,0.397,8.582,31.21,0.553
23,23,19.864,29.118,0.398,8.645,31.196,0.553
24,24,19.869,29.192,0.398,8.708,31.182,0.553
25,25,19.873,29.266,0.399,8.77,31.168,0.554
26,26,19.878,29.339,0.4,8.833,31.153,0.554
27,27,19.882,29.413,0.4,8.895,31.139,0.554
28,28,19.887,29.487,0.401,8.957,31.125,0.554
29,29,19.891,29.56,0.401,9.018,31.111,0.555
30,30,19.896,29.633,0.402,9.08,31.096,0.555
31,31,19.9,29.706,0.403,9.14,31.082,0.555
32,32,19.905,29.778,0.403,9.201,31.068,0.555
33,33,19.909,29.85,0.404,9.261,31.054,0.556
34,34,19.914,29.922,0.404,9.321,31.039,0.556
35,35,19.918,29.994,0.405,9.38,31.025,0.556
36,36,19.923,30.065,0.405,9.439,31.011,0.556
37,37,19.927,30.135,0.406,9.497,30.997,0.557
38,38,19.932,30.206,0.407,9.555,30.983,0.557
39,39,19.936,30.275,0.407,9.612,30.969,0.557
40,40,19.941,30.345,0.408,9.669,30.955,0.557
41,41,19.945,30.413,0.408,9.725,30.941,0.557
42,42,19.949,30.482,0.409,9.78,30.927,0.558
43,43,19.953,30.549,0.409,9.835,30.913,0.558
44,44,19.958,30.617,0.41,9.89,30.899,0.558
45,45,19.962,30.683,0.411,9.943,30.886,0.558
46,46,19.966,30.749,0.411,9.997,30.872,0.559
47,47,19.97,30.815,0.412,10.049,30.858,0.559
48,48,19.974,30.879,0.412,10.101,30.845,0.559
49,49,19.978,30.943,0.413,10.152,30.832,0.559
50,50,19.982,31.007,0.413,10.203,30.818,0.56
51,51,19.986,31.07,0.414,10.252,30.805,0.56
52,52,19.99,31.132,0.414,10.301,30.792,0.56
53,53,19.994,31.193,0.415,10.35,30.779,0.56
54,54,19.998,31.254,0.415,10.397,30.767,0.56
55,55,20.001,31.313,0.416,10.444,30.754,0.561
56,56,20.005,31.373,0.416,10.49,30.742,0.561
57,57,20.009,31.431,0.417,10.535,30.729,0.561
58,58,20.012,31.489,0.417,10.58,30.717,0.561
59,59,20.016,31.545,0.418,10.624,30.705,0.562
60,60,20.019,31.601,0.418,10.667,30.693,0.562
61,61,20.022,31.657,0.419,10.709,30.681,0.562
62,62,20.026,31.711,0.419,10.75,30.67,0.562
63,63,20.029,31.765,0.42,10.791,30.658,0.562
64,64,20.032,31.817,0.42,10.831,30.647,0.563
65,65,20.035,31.869,0.421,10.869,30.636,0.563
66,66,20.038,31.92,0.421,10.908,30.625,0.563
67,67,20.041,31.97,0.421,10.945,30.614,0.563
68,68,20.044,32.02,0.422,10.981,30.603,0.563
69,69,20.047,32.068,0.422,11.017,30.593,0.564
70,70,20.049,32.116,0.423,11.052,30.583,0.564
71,71,20.052,32.162,0.423,11.086,30.573,0.564
72,72,20.054,32.208,0.424,11.119,30.563,0.564
73,73,20.057,32.253,0.424,11.151,30.553,0.564
74,74,20.059,32.297,0.424,11.182,30.544,0.565
75,75,20.062,32.34,0.425,11.213,30.535,0.565
76,76,20.064,32.382,0.425,11.242,30.526,0.565
77,77,20.066,32.423,0.425,11.271,30.517,0.565
78,78,20.068,32.463,0.426,11.299,30.508,0.565
79,79,20.07,32.503,0.426,11.326,30.5,0.566
80,80,20.072,32.541,0.427,11.352,30.492,0.566
81,81,20.074,32.578,0.427,11.378,30.484,0.566
82,82,20.075,32.615,0.427,11.402,30.476,0.566
83,83,20.077,32.651,0.427,11.426,30.468,0.566
84,84,20.078,32.685,0.428,11.449,30.461,0.566
85,85,20.08,32.719,0.428,11.471,30.454,0.567
86,86,20.081,32.752,0.428,11.492,30.447,0.567
87,87,20.082,32.783,0.429,11.512,30.441,0.567
88,88,20.084,32.814,0.429,11.532,30.434,0.567
89,89,20.085,32.844,0.429,11.551,30.428,0.567
90,90,20.086,32.873,0.43,11.568,30.422,0.567
91,91,20.087,32.901,0.43,11.585,30.416,0.568
92,92,20.088,32.928,0.43,11.601,30.411,0.568
93,93,20.088,32.954,0.43,11.617,30.406,0.568
94,94,20.089,32.979,0.431,11.631,30.401,0.568
95,95,20.089,33.003,0.431,11.645,30.396,0.568
96,96,20.09,33.026,0.431,11.658,30.392,0.568
97,97,20.09,33.048,0.431,11.67,30.388,0.569
98,98,20.091,33.069,0.431,11.681,30.384,0.569
99,99,20.091,33.089,0.432,11.692,30.38,0.569
100,100,20.091,33.109,0.432,11.701,30.377,0.569
101,101,20.091,33.127,0.432,11.71,30.373,0.569
102,102,20.091,33.144,0.432,11.718,30.37,0.569
103,103,20.091,33.16,0.432,11.726,30.368,0.569
104,104,20.091,33.176,0.432,11.732,30.365,0.569
105,105,20.09,33.19,0.433,11.738,30.363,0.57
106,106,20.09,33.204,0.433,11.743,30.361,0.57
107,107,20.089,33.216,0.433,11.747,30.359,0.57
108,108,20.089,33.228,0.433,11.751,30.358,0.57
109,109,20.088,33.238,0.433,11.754,30.357,0.57
110,110,20.088,33.248,0.433,11.756,30.356,0.57
111,111,20.087,33.256,0.433,11.757,30.355,0.57
112,112,20.086,33.264,0.433,11.758,30.355,0.57
113,113,20.085,33.271,0.433,11.758,30.355,0.571
114,114,20.084,33.277,0.433,11.757,30.355,0.571
115,115,20.083,33.282,0.434,11.755,30.355,0.571
116,116,20.082,33.286,0.434,11.753,30.356,0.571
117,117,20.08,33.288,0.434,11.75,30.357,0.571
118,118,20.079,33.291,0.434,11.747,30.358,0.571
119,119,20.078,33.292,0.434,11.742,30.359,0.571
120,120,20.076,33.292,0.434,11.738,30.361,0.571
121,121,20.074,33.291,0.434,11.732,30.363,0.571
122,122,20.073,33.289,0.434,11.726,30.365,0.571
123,123,20.071,33.287,0.434,11.719,30.367,0.571
124,124,20.069,33.283,0.434,11.711,30.37,0.571
125,125,20.067,33.279,0.434,11.703,30.373,0.572
126,126,20.066,33.273,0.434,11.695,30.376,0.572
127,127,20.064,33.267,0.434,11.685,30.379,0.572
128,128,20.061,33.26,0.434,11.675,30.383,0.572
129,129,20.059,33.252,0.433,11.665,30.387,0.572
130,130,20.057,33.243,0.433,11.654,30.391,0.572
131,131,20.055,33.233,0.433,11.642,30.395,0.572
132,132,20.053,33.222,0.433,11.63,30.4,0.572
133,133,20.05,33.211,0.433,11.617,30.405,0.572
134,134,20.048,33.198,0.433,11.604,30.41,0.572
135,135,20.045,33.185,0.433,11.59,30.415,0.572
136,136,20.043,33.171,0.433,11.575,30.42,0.572
137,137,20.04,33.156,0.433,11.56,30.426,0.572
138,138,20.038,33.14,0.433,11.545,30.432,0.572
139,139,20.035,33.123,0.432,11.529,30.438,0.572
140,140,20.032,33.106,0.432,11.512,30.445,0.572
141,141,20.03,33.087,0.432,11.495,30.451,0.572
142,142,20.027,33.068,0.432,11.478,30.458,0.572
143,143,20.024,33.048,0.432,11.46,30.465,0.572
144,144,20.021,33.027,0.432,11.442,30.472,0.572
145,145,20.018,33.005,0.431,11.423,30.48,0.572
146,146,20.015,32.983,0.431,11.404,30.487,0.572
147,147,20.012,32.96,0.431,11.384,30.495,0.572
148,148,20.009,32.936,0.431,11.364,30.503,0.572
149,149,20.006,32.911,0.431,11.344,30.511,0.572
150,150,20.003,32.886,0.431,11.323,30.52,0.572
151,151,20.0,32.86,0.43,11.301,30.528,0.572
152,152,19.997,32.833,0.43,11.28,30.537,0.572
153,153,19.994,32.805,0.43,11.258,30.546,0.572
154,154,19.991,32.777,0.43,11.235,30.555,0.572
155,155,19.987,32.748,0.429,11.213,30.564,0.572
156,156,19.984,32.718,0.429,11.19,30.573,0.572
157,157,19.981,32.688,0.429,11.167,30.583,0.572
158,158,19.978,32.657,0.429,11.143,30.593,0.572
159,159,19.974,32.625,0.428,11.119,30.603,0.572
160,160,19.971,32.593,0.428,11.095,30.613,0.572
161,161,19.968,32.56,0.428,11.07,30.623,0.572
162,162,19.965,32.526,0.428,11.046,30.633,0.572
163,163,19.961,32.492,0.427,11.021,30.643,0.572
164,164,19.958,32.457,0.427,10.996,30.654,0.572
165,165,19.955,32.422,0.427,10.97,30.665,0.572
166,166,19.951,32.386,0.426,10.945,30.675,0.572
167,167,19.948,32.35,0.426,10.919,30.686,0.572
168,168,19.945,32.313,0.426,10.893,30.697,0.572
169,169,19.942,32.276,0.425,10.867,30.708,0.572
170,170,19.938,32.238,0.425,10.84,30.719,0.572
171,171,19.935,32.199,0.425,10.814,30.731,0.571
172,172,19.932,32.161,0.425,10.787,30.742,0.571
173,173,19.929,32.121,0.424,10.761,30.754,0.571
174,174,19.926,32.082,0.424,10.734,30.765,0.571
175,175,19.922,32.042,0.424,10.707,30.777,0.571
176,176,19.919,32.001,0.423,10.68,30.788,0.571
177,177,19.916,31.961,0.423,10.653,30.8,0.571
178,178,19.913,31.919,0.423,10.626,30.812,0.571
179,179,19.91,31.878,0.422,10.599,30.823,0.571
180,180,19.907,31.836,0.422,10.572,30.835,0.571
181,181,19.904,31.794,0.422,10.545,30.847,0.571
182,182,19.901,31.752,0.421,10.518,30.859,0.57
183,183,19.898,31.709,0.421,10.491,30.871,0.57
184,184,19.895,31.667,0.42,10.464,30.883,0.57
185,185,19.892,31.624,0.42,10.437,30.895,0.57
186,186,19.89,31.58,0.42,10.41,30.907,0.57
187,187,19.887,31.537,0.419,10.383,30.919,0.57
188,188,19.884,31.494,0.419,10.357,30.931,0.57
189,189,19.882,31.45,0.419,10.33,30.943,0.57
190,190,19.879,31.406,0.418,10.304,30.954,0.57
191,191,19.876,31.362,0.418,10.278,30.966,0.569
192,192,19.874,31.319,0.418,10.252,30.978,0.569
193,193,19.872,31.275,0.417,10.226,30.99,0.569
194,194,19.869,31.231,0.417,10.2,31.002,0.569
195,195,19.867,31.187,0.417,10.175,31.013,0.569
196,196,19.865,31.143,0.416,10.149,31.025,0.569
197,197,19.862,31.099,0.416,10.125,31.037,0.569
198,198,19.86,31.056,0.416,10.1,31.048,0.568
199,199,19.858,31.012,0.415,10.075,31.059,0.568
200,200,19.856,30.969,0.415,10.051,31.071,0.568
201,201,19.855,30.925,0.415,10.027,31.082,0.568
202,202,19.853,30.882,0.414,10.004,31.093,0.568
203,203,19.851,30.839,0.414,9.981,31.104,0.568
204,204,19.849,30.797,0.413,9.958,31.115,0.568
205,205,19.848,30.754,0.413,9.936,31.126,0.567
206,206,19.846,30.712,0.413,9.914,31.137,0.567
207,207,19.845,30.67,0.412,9.892,31.147,0.567
208,208,19.843,30.628,0.412,9.871,31.158,0.567
209,209,19.842,30.587,0.412,9.85,31.168,0.567
210,210,19.841,30.546,0.412,9.83,31.178,0.567
211,211,19.84,30.506,0.411,9.81,31.188,0.567
212,212,19.839,30.466,0.411,9.791,31.198,0.566
213,213,19.838,30.426,0.411,9.772,31.208,0.566
214,214,19.837,30.387,0.41,9.754,31.217,0.566
215,215,19.837,30.348,0.41,9.736,31.226,0.566
216,216,19.836,30.31,0.41,9.719,31.236,0.566
217,217,19.836,30.272,0.409,9.702,31.245,0.566
218,218,19.835,30.235,0.409,9.686,31.253,0.565
219,219,19.835,30.199,0.409,9.671,31.262,0.565
220,220,19.835,30.163,0.408,9.656,31.27,0.565
221,221,19.835,30.127,0.408,9.641,31.279,0.565
222,222,19.835,30.093,0.408,9.628,31.286,0.565
223,223,19.835,30.058,0.408,9.615,31.294,0.565
224,224,19.835,30.025,0.407,9.602,31.302,0.564
225,225,19.835,29.992,0.407,9.591,31.309,0.564
226,226,19.836,29.96,0.407,9.58,31.316,0.564
227,227,19.836,29.929,0.407,9.569,31.323,0.564
228,228,19.837,29.899,0.406,9.56,31.329,0.564
229,229,19.838,29.869,0.406,9.551,31.336,0.564
230,230,19.838,29.84,0.406,9.543,31.342,0.563
231,231,19.839,29.812,0.406,9.535,31.348,0.563
232,232,19.841,29.784,0.406,9.529,31.353,0.563
233,233,19.842,29.758,0.405,9.523,31.359,0.563
234,234,19.843,29.732,0.405,9.518,31.364,0.563
235,235,19.844,29.707,0.405,9.513,31.368,0.563
236,236,19.846,29.684,0.405,9.51,31.373,0.562
237,237,19.848,29.661,0.405,9.507,31.377,0.562
238,238,19.849,29.639,0.404,9.505,31.381,0.562
239,239,19.851,29.617,0.404,9.504,31.385,0.562
240,240,19.853,29.597,0.404,9.504,31.388,0.562
241,241,19.856,29.578,0.404,9.504,31.391,0.562
242,242,19.858,29.56,0.404,9.505,31.394,0.562
243,243,19.86,29.542,0.404,9.508,31.396,0.561
